,University ,City,State,Zip Code,Type of School,Total Enrolment,Acceptance,Departments,Aeronautical Engineering,Agricultural and Biological Engineering,Biological Engineering,Chemical Engineering,Civil Engineering,Coastal and Oceanographic Engineering,Design Engineering,Computer Science,Computer Engineering,Cybersecurity,Electrical Engineering,Environmental Engineering,Software Engineering,Information Technology,Mechanical Engineering,Nuclear Engineering Sciences,Materials Science,Engineering Management,Nanotechnology,Manufacturing Systems Engineering,Macromolecular Science and Engineering,Petroleum Engineering,Telecommunications,Robotics,Supply Chain Management,Tuition Fee-M, Fall Deadline,Spring Deadline,App Fee,GPA,TOEFL ,IELTS ,PTE,GRE V,GRE Q,Email Address,Phone
79,University of South Carolina,Columbia,South Carolina,29208, public university,"32,972",65%,Engineering,,,,Chemical Engineering,Civil Engineering,,,Computer Science ,Computer Engineering,,Electrical Engineering ,,,,Mechanical Engineering ,Nuclear Engineering ,,Engineering Management ,,,,,,,,"$35,504",1/5,1/10,$100,3.5,95,7,0,148,160,gradapp@mailbox.sc.edu,803.777.4243
80,George Mason University,Fairfax, Virginia,22030, public university,"33,723",67%,Engineering,,,,,,,,Computer Science,Computer Engineering,,Electrical Engineering,,,Information Systems,,,,,,,,,,,,"$26,978",1/10,,$65,3,80,6.5,0,165,163,admissions@gmu.edu,703.993.2400
81,University of Miami,Coral Gables,Florida,33124,private university,"16,774",37.80%,Engineering,,,,,Civil Engineering,Ocean Engineering,,,,,Electrical and Computer Engineering,Environmental Health and Safety Program,,,Mechanical Engineering,,,Industrial Engineering,,,,,,,,"$45,600.00",01/12,15/ 10,$65,3,80,6.5,0,143,154,graduateschool@miami.edu,305.284.4154
82,Georgetown University,Washington,D.C,20057,private university,"17,858",16.40%,Engineering,,,,,,,,Computer Science,,,,,,,,,,,,,,,,,,"$1,928.00",15/1,1/10,$90,3,80,7,0,158,163,gradmail@georgetown.edu,202.687.5974
83,University of Connecticut,Storrs,Connecticut,6269, public university,"31,119",50%,Engineering,,,,Chemical Engineering,,,,Computer Science,Computer Engineering,,Electrical and Computer Engineering,Water Resources & Environmental,,,Mechanical Engineering,,Materials Science and Engineering,,,,,,,,,"$1,879",31/12,15/10,$75.00,3,79,6.5,53,153,157,gradschool@uconn.edu,860.486.3617
84,University of Delaware,Newark,Delaware,19717,research university,"22,680",68%,Engineering,,,,,,Ocean Engineering ,,Computer Science ,,,Electrical & Computer Engineering ,,,,Mechanical Engineering ,,Materials Science & Engineering,,,,,,,,,"$50,220",15/2,"15/8 , 15/10",$75.00,3,79,6.5,0,150,150,Alumnet@udel.edu,302.831.2341
85,University of Houston,Houston,Texas,77204,research university,"42,704",63%,Engineering,,,,Chemical Engineering,Civil Engineering,,,Computer & Systems Engineering,Computer Engineering,,Electrical Engineering,Environmental Engineering,,,Mechanical Engineering,,Materials Engineering,,,,,Petroleum Engineering,,,,"$23,077",2/1,1/9,$75.00,3,79,6.5,0,151,159,admissions@uh.edu,713.743.1010
86,George Washington University,Foggy Bottom,"Washington, D.C",20052,private  university,"25,613",39.50%,Engineering,,,,,,,,Computer Science ,Computer Engineering,,Electrical Engineering,,,,Mechanical and Aerospace Engineering,,,Engineering Management,,,,,,,,"$50,700",15/1,1/9,$75.00,30%,80,6,53,155,151,engineering@gwu.edu,202.994.1000
87,University of Cincinnati,Cincinnati,Ohio,45220,public ,"43,691",76%,Engineering,,,,Chemical Engineering,Civil Engineering,,,Computer Science,Computer Engineering,,Electrical Engineering,Environmental Engineering,,,Mechanical Engineering,,Materials Science,,,,,,,,,"$13,609",15/1,0,$75,3,100,6.5,0,153,144,grad.info@uc.edu,513.556.4335
88,Brigham Young University,Provo,Utah,84602,private  university,"29,672",49%,Engineering,,,,Chemical Engineering,Civil Engineering,,,Computer Science,,,Electrical and Computer Engineering,,,,Mechanical Engineering,,,,,,,,,,,"$11,970",15/2,0,$50,3.3,85,7,0,154,158,gradstudies@byu.edu,801.422.4091
89,Temple University,Philadelphia,Pennsylvania,19121,public university,"37,788",61.70%,Engineering,,,,,,,,,,,ELECTRICAL & COMPUTER ENGINEERING,,,,MECHANICAL ENGINEERING,,,ENGINEERING MANAGEMENT,,,,,,,,"$26,825",01/10,,$75,3,79,6.5,53,152,152,gradengr@temple.edu,215.204.7800
90,Louisiana State University, Baton Rouge, Louisiana,70803,public ,"30,451",75%,Engineering,,Biological & Agricultural Engineering,,Chemical Engineering,Civil  Engineering,,,Computer Science,,,Electrical Engineering,Environmental Engineering,,,Mechanical Engineering,,,,,,,Petroleum Engineering,,,,"$27,822",01/ 01,15/ 10,$50.00,3.2,79,6.5,0,145,155,gradadm@lsu.edu,225.578.6219
91,Case Western Reserve University,Cleveland,Ohio,44106,Private university,"11,771",38.30%,Engineering,,,,Chemical Engineering,Civil Engineering,,,,,,Electrical Engineering,,,,Mechanical Engineering,,Materials Science and Engineering, Engineering and Management,,,,,,,,"$13,000",01/ 02,01/ 10,$50.00,3,90,7,0,154,158,casemed-admissions@case.edu,216.368.4580
92,Indiana University/Purdue University Indianapolis,Indianapolis,Indiana,46202,Private university,"38,770",69%,Engineering,,,,,,,,Computer and Information Science,,,Electrical Engineering,,,,Mechanical Engineering,,,,,,,,,,,"$19,011",01/04,01/ 10,$65,3,79,6.5,0,160,160,oia@iupui.edu,317.274.4591
93,University of North Texas,Denton,Texas,76203,public institution,"36,486",62.10%,Engineering,,,,,,,,Computer Science,Computer Engineering ,,Electrical Engineering,,,,Mechanical Engineering,,Materials Science and Engineering,,,,,,,,,"$13,470",15/01,15/ 09,$85.00,3,90,7,0,150,155,international@unt.edu,940.565.2922
94,Syracuse University,Syracuse,New York,13244,private  university,"21,492",53.20%,Engineering,,,,Chemical Engineering,Civil  Engineering,,,Computer Science,,,Electrical Engineering,Environmental Engineering,,,Mechanical Engineering,,,,,,,,,,,"$24,984",01/06, 15/ 10,$75,3.3,80,6.5,0,148,162,orange@syr.edu,315.443.3611
95,Wayne State University,Michigan,Wayne State,48202,Public university ,"25,619",77.30%,Engineering,,,,Chemical Engineering,Civil  Engineering,,,Computer Science,Computer Engineering ,,,,,,,,,,,,,,,,,"$35,000",01/05,01 / 01,$0,3,79,6.5,0,150,155,escope@wayne.edu ,313.577.0409
96,University of Alabama Birmingham,Birmingham,Alabama,35294,public university,"17,189",85.70%,Engineering,,,,,Civil Engineering,,,Computer Science,,,Electrical Engineering,,,,Mechanical Engineering,,Materials Engineering ,,,,,,,,,"$17,294",01/06,01/ 10,$60.00,3,80,6,59,150,150,sawatts@uab.edu,205.934.2045
97,Utah State University, Logan,Utah,84322,public  university,"27,662",97.80%,Engineering,,,,,Civil  Engineering,,,Computer Science,Computer Engineering ,,Electrical Engineering,Environmental Engineering,,,Mechanical Engineering,,,,,,,,,,,"$18,207",03/15,15/10,$55,3,79,6,0,149,158,graduateschool@usu.edu,435.797.8340
98,Virginia Commonwealth University,Richmond,Virginia,23284,public  university,"31,242",68.90%,Engineering,,,,Chemical Engineering,,,,Computer Science,Computer Engineering ,,Electrical Engineering,,,,Mechanical Engineering,Nuclear Engineering,,,,,,,,,,"$44,938",01/ 07, 01/ 11,$65,3,80,6.5,65,148,148,gdhillon@vcu.edu,804.828.1737
99,University of Vermont, Burlington,Vermont,5405,public university,"12,856",73.40%,Engineering,,,,,Civil  Engineering,,,Computer Science,,,Electrical Engineering,Environmental Engineering,,,Mechanical Engineering,,Materials Science and Engineering,,,,,,,,,"$38,160",01/ 02,15/10,$55.00,3.67,80,6.5,0,154,156,"txia@uvm.edu ,",802.656.3331
100,University of Central Florida,Orlando,Florida,32816,public  university,"60,767",49.60%,Engineering,,,,,Civil  Engineering,,,Computer Science,Computer Engineering ,,Electrical Engineering,Environmental Engineering,,,Mechanical Engineering,,Materials Science and Engineering,"Engineering Management, Industrial Engineering",,,,,,,,"$35,822",15/01,01/ 07,$31.00,3,91,7,0,146,144,gradadmissions@ucf.edu,407.823.2766
101,Drexel University,Philadelphia,Pennsylvania,19104,Private university,"26,359",76%,Engineering,,,,Chemical Engineering,Civil Engineering,,,,Computer Engineering,Cybersecurity,Electrical Engineering,Environmental Engineering,,,Mechanical Engineering and Mechanics,,Materials Science and Engineering,,,,,,,,,"$12,847",13/06,0,$75,3,100,7,0,153,160,enroll@drexel.edu,215.895.6700
102,Kansas State University,Manhattan,Kansas,66506,Public,"24,766",95%,Engineering,,,,Chemical Engineering,Civil Engineering,,,Computer Science,,,Electrical And Computer  Engineering,,,,Mechanical Engineering ,Nuclear Engineering,,"Engineering Management, Industrial Engineering",,,,,,,,"$20,439.75",08/01,01/08,$75,3,79,6.5,58,145,155,grad@k-state.edu,785.532.6191
103,Rensselaer Polytechnic Institute,Troy,Newyork,12180,Private,7028,38%,Engineering,Aeronautical Engineering ,,,,Civil Engineering,,,Computer & System Engineering ,Computer Engineering ,,Electrical Engineering,Environmental Engineering,,,Mechanical Engineering ,Nuclear Engineering ,Materials Science ,Industrial & Management Engineering,,,,,,,,"$46,700",01/01,15/08,$75,3,100,7,68,157,163,gradadmissions@rpi.edu,518.276.6216
104,University of Alabama,Tuscaloosa,Alabama,35487,Public,"36,155",51%,Engineering,,,,Chemical and Biological Engineering ,Civil Engineering,,,Computer Science ,,,Electrical and Computer Engineering ,Environmental Engineering ,,,Mechanical Engineering ,,Metallurgical Engineering ,,,,,,,,,"$20,755.00",28/02,30/06,$60,3,79,6.5,59,150,150,gradschool@ua.edu,205.348.5921
105,Clemson University,Clemson,South Carolina,29634,Public,"22,698",52%,Engineering ,,,,Chemical Engineering,Civil Engineering,,,Computer Science,Computer Engineering ,,Electrical Engineering,,,,"Automotive Engineering, Mechanical Engineering ",,Materials Science and Engineering,Industrial Engineering ,,,,,,,,"$10,275",15/01,15/09,$90,3.4,100,7,0,155,165,grdapp@clemson.edu,864.656.3195
106,Oklahoma State University Stillwater,Stillwater,Oklahoma,74074,Public,"25,962",75%,Engineering,,,,Chemical Engineering,"Civil & Environmental Engineering , Environmental Engineering",,,,Computer Engineering ,,Electrical Engineering,,,,,,,​Industrial Engineering and Management ,,,,Petroleum  Engineering,,,,"$11,251.80",01/02,01/08,$75,3,79,6.5,0,153,141,gradi@okstate.edu,405-744-6368
107,Stony Brook University,Stony Brook,New York,11794,Public,"25,272",41.30%,Engineering ,,,,,Civil Engineering,,,Computer Science,Computer Engineering ,,Electrical Engineering,,,,Mechanical Engineering ,,Materials Science and Engineering,,,,,,,,,"$11,880.50",15/01,01/10,$100,3,85,6.5,0,157,163,Graduate.School@sunysb.edu,631-632-4723
108,San Diego State University,San Diego,California,92182,Public,"33,527",34.50%,Engineering,Aerospace Engineering,,"Bioengineering,",,"Civil Engineering 
",,,,,,Electrical Engineering ,Environmental Engineering,,,Mechanical Engineering ,,,,,,,,,,,"$32,898",01/03,0,$55,3,80,6.5,0,150,155,intladmission@sdsu.edu,619.594.1847
109,Florida International University,Miami,Florida,33199,Public,"55,000",47.60%,Engineering ,,,,,"Civil Engineering, Construction Management",,,Computer Science,,Cybersecurity,Electrical Engineering,Environmental Engineering,,Information Technology,Mechanical Engineering ,,Material Science & Engineering,Engineering Management,,,,,,,,"$11,988",15/02,01/08,$30,3,80,6.5,0,148,151,grad_eng@fiu.edu,305.348.1890
110,University of Wisconsin Milwaukee,Milwaukee,Wisconsin,53211,Public,"28,042",88.40%,Engineering ,,,,,,,,Computer Science,,,Electrical Engineering,,,,,,,,,,,,,,,"$12,380.00",01/03,01/08,$54,3,79,6.5,0,142,141,gradschool@uwm.edu,414.229.4374
111,West Virginia University,Morgantown,West Virginia,26506,Public,"28,776",85.80%,Engineering and Mineral Resources,Aerospace Engineering MS,,,Chemical Engineering MS,Civil Engineering,,,Computer Science ,,,Electrical Engineering,,,,Mechanical Engineering,,Material Science and Engineering,"Industrial Hygiene, Industrial Engineering (MS)",,,,Petroleum and Natural Gas Engineering,,,,"$11,916",01/03,01/10,$60,3,79,6.5,0,144,156,GraduateAdmissions@mail.wvu.edu ,304.293.5980
112,Georgia State University,Atlanta,Georgia,30302,Public,"32,082",57.10%,Business,,,,,,,,Computer Science ,,,,,,,,,,,,,,,,,,"$41,100",15/03,15/08,$50,3,90,6.5,0,155,155,grad@gsu.edu,404.413.2694
113,Boston College,Chestnut Hill,Massachusetts,*02467,Private,"14,125",29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Auburn University,Auburn,Alabama,36849,Public,"27,287",77.70%,Engineering,Aerospace Engineering,,,Chemical Engineering,Civil Engineering,,,Computer Science ,,,"Electrical and Computer Engineering MS, Master of Electrical Engineering",,,,Mechanical Engineering,,Materials Engineering,"Industrial and Systems Engineering, MS, MISE",,,,,,,,"$39,430.00",15/01,0,$70,3,80,6.5,0,140,150,gradadm@auburn.edu,334.844.4700
115,Texas Tech University,Lubbock,Texas,79409,Public,"35,893",66%,Engineering,,,"Bioengineering,",Chemical Engineering,"Civil Engineering,Environmental Engineering",,,Computer Science ,,,Electrical Engineering,,,,Mechanical Engineering,,,"Industrial Engineering, System And Engineering Management",,,,Petroleum Engineering,,,,"$32,705",15/01,15/06,$60,3,79,6.5,60,156,163,graduate.admissions@ttu.edu,806.742.2787
116,University of New Hampshire,Durham,New Hampshire,*03824,Public,"15,398",80%,Engineering ,,,,Chemical Engineering,Civil Engineering,,,Computer Science ,,,"Electrical and Computer Engineering, Electrical Engineering",,,,Mechanical Engineering ,,Materials Science,,,,,,,,,"$27,130.00",01/04,0,$65,3,80,6.5,0,160,151,grad.school@unh.edu,603.862.3000
117,University of Louisville,Louisville,Kentucky,40292,Public,"22,599",74%,Engineering,,,Bioengineering,Chemical Engineering  ,Civil Engineering  ,,,Computer Science ,,,Electrical Engineering ,,,,Mechanical Engineering   ,,,Industrial Engineering  ,,,,,,,,"$35,598",01/05,01/11,$60,2.75,80,6.5,0,150,150,tom.brammer@louisville.edu,502.852.4672
118,University of Maryland Baltimore,Baltimore,Maryland,21201,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,University of Texas Dallas,Richardson,Texas,75080,Public,"24,554",52%,Engineering,,,Biomedical Engineering,,,,,Computer Science ,,,Electrical Engineering,,,,Mechanical Engineering,,Materials Science and Engineering,Systems Engineering and Management ,,,,,,,,"$16,847",01/05,01/09,$100,3.3,80,6.5,0,154,156,interest@utdallas.edu,972.883.2270
120,University of Maryland Baltimore County,Baltimore,Maryland,21250,Public,"13,839",59.60%,Engineering and Information Technology,,,,Chemical and Biochemical Engineering ,Environmental Engineering,,,Computer Science ,,Cybersecurity,Electrical Engineering,,,,Mechanical Engineering,,,"Engineering Management, Systems Engineering (M.S.)",,,,,,,Information Systems ,"$33,810.00",01/01,01/06,$50,3,80,6.5,0,150,148,GradSchool@umbc.edu,410.455.2537
121,Oregon Health & Science University,Portland,Oregon,97239,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$100,,,,,,,,
122,Wake Forest University,Winston-Salem,North Carolina,27109,Private,"7,591",28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$50,,,,,,,,
123,Yeshiva University,New York,New York,10033,Private,"6,348",81.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Saint Louis University,St. Louis,Missouri,63103,Private,"13,505",60.30%,Engineering,Aerospace & Mechanical Engineering,,Biomedical Engineering,,Civil Engineering,,,,,,Electrical & Computer Engineering,,,,,,,,,,,,,,Supply Chain Management,"$34,250",01/03,30/11,$65,3,80,6.5,0,148,150,parksgraduateprograms@slu.edu .,314.977.8306
125,Tulane University,New Orleans,Louisiana,70118,Private,"13,449",30%,Science & Engineering,,Cell and Molecular Biology,,,,,,,,,,,,,,,,,,,,,,,,"$46,930",15/01,01/08,$50,3.4,90,6.5,0,159,157,ogps@tulane.edu,504.247.1213
126,Portland State University,Portland,Oregon,97201,Public,"28,076",84.80%,Engineering ,,,,,Civil Engineering,,,Computer Science,,,Electrical Engineering,Environmental Engineering,,,Mechanical Engineering ,,Material Science,,,,,,,,Global Supply Chain Management,"$8,992.00",01/02,15/08,$67,3,80,6.5,0,144,152,info@cecs.pdx.edu,503.725.4631
127,Michigan Technological University,Houghton,Michigan,49931,Public,"7,238",74%,Engineering ,,,Biomedical Engineering,Chemical Engineering,Civil Engineering,,,Computer Engineering,Computer Engineering,,Electrical Engineering,Environmental Engineering ,,,"Engineering Mechanics,Mechanical Engineering",,Materials Science and Engineering,,,,,,,,,"$16,541",01/02,01/08,0,3,100,7,0,153,160,jacque@mtu.edu,906.487.1434
128,Northeastern University,Boston,Massachusetts,*02115,Private,"19,798",28%,Engineering,,,Bioengineering,Chemical Engineering MS,Civil and Environmental Engineering,,,,Computer Systems Engineering,,Electrical and Computer Engineering,,,,Mechanical Engineering ,,,"Engineering Management, Industrial Engineering",,,,,,,Information Systems,"$44,130",15/04,15/09,$75,3,79,6.5,0,150,150,j.hengel@neu.edu,617.373.2711
129,University at Albany,Albany,New York,12222,Public,"17,280",55.80%,Engineering ,,,,,,,,Computer Science,,,,,,,,,,,,,,,,,,"25,476.00",15/07,01/12,$75,3,79,6.5,0,150,150,graduate@albany.edu,518.442.3980
130,Northern Illinois University,DeKalb,Illinois,60115,Public,"20,130",50.90%,Engineering,,,,,,,,,,,Electrical Engineering,,,,Mechanical Engineering,,, Industrial & Systems Engineering,,,,,,,,"$11,203.46",01/05,01/10,$60,3,80,6.5,0,154,154,gradsch@niu.edu,815.753.0395
132,University of Missouri Kansas City,Kansas City,Missouri,64110,Public,"16,160",56%,Engineering,,,,,Civil Engineering,,,Computer Science,,,Electical Engineering,,,,Mechanical Engineering,,,,,,,,,,,"$14,601.17",15/01,0,$75,3,80,6.5,0,150,158,isao@umkc.edu,816.235.1113
133,University of Mississippi,Oxford,Mississippi,38677,Public,"23,838",81%,Engineering,Aeroacoustics ,,,Chemical Engineering,Civil Engineering,,,Computer and Information Science ,,,Electical Engineering,Environmental Engineering,,,mechanical Engineering,,Material Science and Engineering ,,,,,,,,,"$36,517.50",01/04,01/10,$50,3,79,6.5,53,140,155,gschool@olemiss.edu,662.915.7474
134,University of Alaska Fairbanks,Fairbanks,Alaska,99775,Public,"11,149",,Engineering ,,,,,Civil Engineering,,,Computer Science ,,,Electical Engineering,,,,mechanical Engineering,,,,,,,Petroleum Engineering,,,,"$11,216",01/03,01/09,$60,3,79,6.5,0,151,151,admissions@uaf.edu,907.474.7500
135,Montana State University,Bozeman,Montana,59717,Public,"15,688",83.90%,Engineering,,Agricultural Education, Bioengineering,Chemical Engineering,Civil Engineering,,,Computer Science ,,,Electrical Engineering, Environmental Engineering*,,,Mechanical Engineering   ,,,Industrial & Management Engineering,,,,,,,,"$26,100",01/05,01/09,$60,3,80,7,54,148,145,engrinfo@coe.montana.edu,406.994.2272
136,New Mexico State University,Las Cruces,New Mexico,88003,Public,"18,497",69.60%,Engineering,Aerospace Engineering,,,Chemical Engineering,Civil Engineering,,,,,,Electrical Engineering,Environmental Engineering,,,Mechanical Engineering,,,Industrial Engineering,,,,,,,,"$10,879.50",01/03,01/10,$50,3,79,6.5,0,146,155,admissions@nmsu.edu,575-646-3121
137,College of William & Mary,Williamsburg,Virginia,23185,Public,"8,437",33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Rochester Institute of Technology,Rochester,New York,14623,Pivate,"18,606",57%,Engineering,,,,,,,,,Computer Engineering ,,Electrical Engineering,,,,Mechanical Engineering ,,,"Industrial & Systems Engineering , Engineering Management ",,,,,,,,"$41,804",0,0,$60,3,80,6.5,58,144,156,gradinfo@rit.edu,866.260.3950
139,Northern Arizona University,Flagstaff,Arizona,86001,Public,"29,031",81%,Engineering,,,,,Civil Engineering,,,Computer Science,,, Electrical Engineering,Environmental Engineering,,,Mechanical Engineering ,,,,,,,,,,,"$36,060",01/03,15/09,$65,3.78,80,6.5,0,154,151,Graduate@nau.edu,928.523.4348
140,University of Nevada Reno,Reno,Nevada,89557,Public,"19,934",84%,Engineering,,,,Chemical Engineering,Civil and Environmental Engineering,,,Computer Science ,Computer Engineering ,,Electrical Engineering,,,,Mechanical Engineering,,Materials Science and Engineering,,,,,,,,,"$10,335.67",15/01,15/08,$95,2.75,79,6.5,0,150,150,gradadmissions@unr.edu.,775.784.6869
141,University of Texas Arlington,Arlington,Texas,76019,Public,"37,008",60%,Engineering,Aerospace Engineering,,,, Civil Engineering& Construction Management,,,Computer Science ,Computer Engineering,,Electrical Engineering,,,,Mechanical Engineering,,Materials Science and Engineering,"Engineering Management,Industrial Engineering",,,,,,,Information Systems,"$27,179",01/04,15/10,$90,3,79,6.5,0,155,146,graduate@nau.edu,817.272.5164
142,Mississippi State University,Mississippi State University,Mississippi,39762,Public,"20,873",71%,Engineering,Aerospace Engineering,Agriculture  ,Biological Engineering ,Chemical Engineering ,Civil Engineering ,,,Computer Science ,,,Electrical and Computer Engineering ,,,,Mechanical Engineering ,,,Industrial Engineering ,,,,,,,Information Systems ,"$31,000",01/ 05,1/10,$60,3,79,6.5,0,145,150,gradapps@grad.msstate.edu,"662.325.7400
"
143,Kent State University,Kent,Ohio,44240,Public Research,"41,214",84.40%,,Aeronautics,,,,Construction Management,,,,Computer Engineering Technology,,,,,,Mechinacal Engineering,,,Engineering and Technology Management,,,,,,,Digital Sciences,"$9,681",15/ 08,01/09,$70,3,75,6,48,145,146,info@kent.edu,330.672.3000
144,University of Arkansas Fayetteville,Fayetteville,Arkansas,72701,Public,"26,754",58.60%,Engineering,,Biological And Agricultural Engineering,Biomedical Engineering,Chemical Engineering,Civil Engineering,,,Computer Science,Computer Engineering,,Electrical Engineering ,Environmental Engineering,,,Mechanical Engineering,,,Industrial Engineering,,,,,,,,"$17,694.50",01/06,01/10,$50,3,90,6.5,58,151,150,gsb@walton.uark.edu,479.575.2851
145,University of Wyoming,Laramie,Wyoming,82071,Public,"12,627",97.70%,Engineering,,,Atmospheric Science,Chemical Engineering,Civil and Architectural Engineering,,,Computer Science,,,Electrical and Computer Engineering,,,,Mechanical Engineering,,,,,,,Petroleum Engineering,,,,"$20,790",15/01,15/09,$50,3.25,80,6.5,0,147,150,admissions@uwyo.edu,307.766.5160
146,Baylor University,Waco,Texas,76798,private university,"16,787",55.40%,Engineering,,,,,,,,Computer Science,,,Electrical and Computer Engineering,,,,Mechanical Engineering,,,,,,,,,,,"$32,300",15/02,01/12,$40,3,80,6.5,58,155,160,GraduateAdmissions@baylor.edu,254.710.1461
147,Illinois Institute of Technology,Bronzeville,Illinois,60616,Private university,"7,792",50.60%,Engineering,,Biomedical Engineering &Biological Engineering,Biomedical Engineering,Chemical Engineering,,,,,Computer Engineering,,Electrical and Computer Engineering,Environmental Engineering,,,Mechanical and Aerospace Engineering,,Materials Science and Engineering,,,,,,,,,"$29,475",01/ 07,0,$75,3,89,6.5,53,153,153,grad.admission@iit.edu,312.567.3020
148,University of Nevada las Vegas,Las Vegas,Nevada,89154,Public,"28,600",86.90%,Engineering,Aerospace Engineering,Biomedical Engineering,,,"Civil Engineering and Environmental Engineering, Construction Management",,,Computer Science,,,Electrical Engineering,,,,Mechanical Engineering,,Materials and Nuclear Engineering,,,,,,,,,"$23,274",01/02,01/10,$95,3,80,7,65,150,150,gradcollege@unlv.edu,702.895.3320
149,Brandeis University,Waltham,Massachusetts,*02453,Private,"5,945",35%,,,,,,,,,Computer Science,,,,,,,,,,,,,,,,,,"$49,481",01/11,0,$100,0,1,7,68,,,globaladmissions@brandeis.edu,781.736.2252
150,University of Rhode Island,Kingston,Rhode Island,*02881,Public,"16,218",75.70%,Engineering,,,Biomedical Engineering,chemical engineering,Civil and Environmental Engineering,ocean engineering,,,Computer Engineering,,Electrical Engineering,,,,Mechanical Engineering,,,Systems Engineering,,,,,,,Management Information Systems,"$13,860",01/02,15/07,$65,3,80,6.5,68,,,urigrad@etal.uri.edu,401.874.2872
151,Baylor College of Medicine,"Houston,",Texas,77030,Private school,743,54%%,medical school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,University of Idaho,Mascow,Idaho,83844,Public university,"10,474",67.50%,Engineering,,,Biological Engineering,Chemical & Materials Engineering,Civil Engineering,,,Computer Science,,,Electrical Engineering,,,,Mechanical Engineering,,,,,,,,,,,"$22,226",13/05,16/12,$60,3,70,6,48,152,152,graduateadmissions@uidaho.edu,208.885.4001
153,University of Texas San Antonio,San Antonio,Texas,78249,Public university,,60%,Engineering,,,Biomedical Engineering,,Civil Engineering,,,,Computer Engineering,,Electrical Engineering ,,,Information Technology ,Mechanical Engineering ,,,,,,,,,,,"$29,916",01/04,01/09,$60,3,100,7,0,152,152,GraduateAdmissions@utsa.edu,210.458.4331
155,Lehigh University,"Bethlehem,","Pennsylvania,",18015,Private,"7,119",30%,Engineering,,,Bioengineering,Chemical and Biomolecular Engineering,Civil and Environmental Engineering,,,Computer Science and Engineering,,,Electrical and Computer Engineering,Environmental Engineering,,,Mechanical Engineering and Mechanics,,Materials Science and Engineering,Industrial and Systems Engineering,,,,,,,,"$47,442",15/01,,$70,3,94,7,0,154,158,admissions@lehigh.edu,610.758.3650
157,Southern Illinois University,Carbondale,Illinois,62901,Public,"17,989",79.30%,Engineering,,,BIOMEDICAL ENGINEERING,,CIVIL AND ENVIRONMENTAL ENGINEERING,,,,,,ELECTRICAL AND COMPUTER ENGINEERING,,,,MECHANICAL ENGINEERING,,,,,,,,,,,"32,888.00",01/03,01/09,$65,3,80,6.5,0,146,147,gradschl@siu.edu,618.536.7791
158,University of North Carolina Charlotte,Charlotte,"North Carolina,",28223,public,"28,062",64.10%,Engineering,,,,,Civil Engineering,,,,,,,,,Information Technology,Mechanical Engineering,,,Engineering Management,,,,,,,,"$32,816",01/03,01/09,$75,3,83,6.5,0,154,156,gradadm@uncc.edu,704.687.8622
159,Southern Methodist University,Dallas,Texas,75275,Private university,"11,643",52%,Engineering,,,,,Civil and Environmental Engineering,,,Computer Science and Engineering,Computer Engineering,,Electrical Engineering,,,,Mechanical Engineering,,,"Engineering Management, Information, and Systems",,,,,,,,"$45,656.00",01 / 05,01 /09,$60,3.5,100,7,0,146,146,ugadmission@smu.edu,214.768.2058
160,Medical College of Wisconsin,"Milwaukee, ","Wisconsin ,US",53226,Public,821,3.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,East Carolina University,Greenville,North Carolina,27858,"Public university,","27,511",77.30%,Engineering,,,Biomedical Engineering,,,,,"Computer Science,",,,,,,,,,,,,,,,,,,,15/08,20/12,,,,,,,,,
163,Medical University of South Carolina,Charleston,South Carolina,"29425,",Public university,29425,,medical school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shelley.streeter@uscmed.sc.edu ,803.216.3625
164,Old Dominion University,"Norfolk,","Virginia,",23529,Public university,"24,932",81.90%,Engineering,Aerospace Engineering ,,,,Civil Engineering,,,Computer Science ,,,Electrical & Computer Engineering,,,Computer Information Systems ,Mechanical Engineering ,,,Engineering Management ,,,,,,,,"$25,140",15//04,01/ 10,$50,3,79,6.5,0,150,151,srisch@odu.edu,757.683.3701
165,San Francisco State University,San Francisco,California,"94132,",Public,"30,256",,Engineering,,,,,,,,Computer science and technology,,,,,,,,,,,,,,,,,,"$20,660",01/03,01/10,$55,3,61,6,45,150,159,gradstdy@sfsu.edu,415.338.2234
166,Creighton University,Omaha,"Nebraska,","68102,",Private,"8,236[",53.4,Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,812",01/ 08,01/ 04,$40,3.5,90,6.5,58,145,145,MackenzieStick@creighton.edu,402.280.2662
