u_id,University ,Zip Code,Type of School,Total Enrolment,Acceptance,Departments,Tuition Fee-M, Fall Deadline,Spring Deadline,App Fee,GPA,TOEFL ,IELTS ,PTE,GRE V,GRE Q,Email Address,Phone
193,Worcester Polytechnic Institute,1609,private ,"5,778",43.80%,1,"$42,240.00",31/ 03,31/ 10,$70,3.86,84,7,53,153,153,grad@wpi.edu,508.831.5301
194,Wright State University,45435,public ,"12,682",96.80%,1,"$25,711",15/ 06,03 /10,$40,3.3,79,6,57,144,155,wsugrad@wright.edu,937.775.2976
196,Villanova University,19085,private ,"10,735",49%,1,"$39,300",01 /04 ,01 /10,$50,3,80,7,52,155,155,deanegr@villanova.edu,610.519.4000
197,Depaul University,60614,private,"23,799",70%,1,"37,820",15/ 06,15 /10,$25,3.75,80,6.5,44,145,140,admission@cdm.depaul.edu,312.362.8714
199,University of New Orleans,70148,public ,"7,152",56%,1,"$23,099",15 / 07,01 /11,$20,3,79,6.5,58,136,144,admissions@uno.edu,504.280.7263
200,California State University Fullerton,92831,public,"38,948",44.50%,1,"$14,403",01-04,01/ 11,$55,3.48,80,6.5,58,145,145,ecsgrad@fullerton.edu,657.278.2909
201,Colorado School of Mines,80401,Public,"5,794",36.50%,1,"$52,872",01/ 02,01/ 10,70$,3.4,79,6.5,53,145,151,adotson@mines.edu,303.273.3247
202,Boise State University,83725,public,"22,113",79.60%,1,"$21,804",15 /05,15 /11,$90.00,3,80,6,0,148,148,interntl@boisestate.edu,208.426.1757
203,California State University Long Beach,90840,Public,"37,446",36.10%,1,"$17,612",15/ 04,01 /10,$55,2.7,79,6,43,145,152,tesfai.goitom@csulb.edu,562.985.5471
204,Nova Southeastern University,33314,private ,"25,670",57.50%,1,"$22,350",22/ 07,09 /12,$50,3,80,6,54,145,152,cecinfo@nova.edu,800.541.6682
206,Cleveland State University,44115,Public,"17,730",67.10%,1,"$29,940",01/ 06,01 /11,$40,3,78,6,43,153,153,graduate.admission@csuohio.edu,216.687.5411
208,University of Massachusetts Lowell,1852,Public,"17,450",64%,1,"$25,853",Rolling,Rolling,$50,3,79,0,0,145,155,Graduate_Admissions@uml.edu,978.934.2383
210,Santa Clara University,95053,"Private,","8,770",49.40%,1,"$19,404",01/ 04,02 / 09,$60,3,80,6.5,0,153,157,GradEngineer@scu.edu,408.554.4000
211,University of Nebraska Omaha,68182,Public,"15,526",76%,1,"$19,746",01 /07,01 /11,$45,3,79,6.5,44,146,158,gradschool@unomaha.edu,402.554.2341
212,Missouri University of Science & Technology,65409,Public,"8,889",90%,1,"$22,748",15 /05,15/ 10,$75,3.3,92,6.5,0,150,160,admissions@mst.edu,800.522.0938
213,University of Dayton,45469,Private,11074,58.80%,1,"$19,350",,,$50.00,3,80,6.5,0,145,157,goglobalgraduate@udayton.edu,855.664.5623
214, Marquette University,53233,Private,"11,745",66.70%,1,"$19,350",01/ 06,15/ 10,$50,3,80,6.5,0,145,150,katie.ruetz@marquette.edu,414.288.7289
215,Miami University of Ohio,45056,public,"18,456",66%,1,"$12,528",01/ 11,01-12,50$,6.5,80,6.5,54,145,152,gradschool@MiamiOH.edu,513.529.3734
216,"7=HYPERLINK(""http://www.clarkson.edu/"",""Clarkson University"")",13699,Private,"4,300",77%,1,"$23,400",01 /05,01 /10,$35,3,80,6.5,0,147,157,graduate@clarkson.edu,518/631-9910
217,University of Southern Mississippi,39406,Public,"14,551",66.70%,1,,01/ 06,01 /10,$40,3,79,6.5,0,145,145,,601.266.4841
218,Texas State University,78666,Public university,"37,979",73%,1,"$14,597",01/ 06,01 /10,$90.00,2.75,78,6.5,0,140,148,international@txstate.edu,512.245.7966
219,Oakland University,48309,Public,"20,519",68%,1,"$16,432.00",01 /05,01/ 09,$0,3.2,79,6.5,0,151,152,gradadm@oakland.edu,248.370.2700
220,University of Missouri Saint Louis,63121,Public ,"16,738",69%,1,"19,638.00",01/ 07,01/ 12,$40,3,79,6.5,53,140,142,gradadm@umsl.edu,314.516.5000
222,Florida Institute of Technology,32901,Private,"6,393",57%,1,"$39,290",08/ 06,01/ 10,$50,3.25,79,6.5,58,145,156,admission@fit.edu,321.674.8000
224,University of Alabama Huntsville,35899,Public University,"7,866",64%,1,"$13,933",01 /04 ,01 /09,$60,3,97,6.5,0,145,155,admissions@uah.edu,256.824.1000
225,Howard University,"20059,",Private,"10,265",48%,1,"$15,654.50",15/ 02,01 /11,$75,3,79,6.5,0,140,145,hugsadmission@howard.edu,202.806.6100
227,Middle Tennessee State University,37132,public university,,72%,1,"15,062",01/ 06,01/ 10,$35,3,71,6,0,140,145,graduate@mtsu.edu,615.898.2840
228,Wichita State University,67260,public,"14,495",95.50%,1,"$12,690",01/ 04,01/ 08,$65,3,79,6.5,0,142,152,international @wichita.edu,316.978.3232
229, California State University Fresno,93740,Public,"24,136",58%,1,"$9,740",01-03,30/ 09,$55,3,80,6,0,140,150,rickc@csufresno.edu,559.278.2500
230,Catholic University of America,20064,Private,"6,521",74%,1,"$21,690",01 /07,01/ 11,$60,,80,6.5,0,153,157,cua-gradadmissions@cua.edu,202.319.5057
231,California State University Los Angeles,90032,public ,"24,488",61.10%,1,"$15,284",15/ 04,01/ 10,$55,2.5,80,6,53,145,152,GradAdm@calstatela.edu,323.343.3170
232,Western Washington University,98225,public universities,"15,060",83.70%,1,"$20,060",15/ 04,01 /10,. $55,3.43,86,7,0,145,155,admit@wwu.edu,360.650.3440
233,Stevens Institute of Technology,*07030,Private,"7,208",38%,1,"$24,996",15 /04,01 /11,$60,3.5,86,7,0,152,157,admissions@stevens.edu,201.216.5194
234,Clark University," 01610,",private,"3,178",54%,1,,rolling,rolling,$75,3,90,6.5,0,140,145,gradadmissions@clarku.edu.,508.793.7711
235,Idaho State University,83209,Public university,"15,553",,1,"$22,581",01/ 04,01 /11,$60,2.25,80,6.5,0,145,155,graddean@isu.edu,208.282.0211
236,University of Massachusetts Dartmouth,*02747,Public,"1,443.00",70%,1,"$6,074",15 / 02,15 /11,$60,3,72,6,0,145,155,graduate@umassd.edu,508.999.8604
237,University of North Carolina Wilmington,28403,State University,"14,611",56.80%,1,,01 /06,01 /11,$60,3.15,79,6.5,0,152,156,morenom@uncw.edu,910.962.3243
240,Illinois State University,61761,Public,"20,615",74%,1,"$14,424",01 /05,01 /10,$50,3.4,79,6.5,0,143,140,Admissions@IllinoisState.edu,800.366.2478
